Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=368db29c0beb806ab3da415950bfd6f9&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=ICP&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691209&legendRef=reference&legendPub=published&legendNor=,,
,ICP.M.U2.N.XEF000.4.ANR,ICP.M.U2.N.XEF000.4.INX
2016/10/31,0.7,101.62
2016/9/30,0.8,101.51
2016/8/31,0.8,101.04
2016/7/31,0.9,100.8
2016/6/30,0.8,101.37
2016/5/31,0.8,101.32
2016/4/30,0.7,101.02
2016/3/31,1,100.8
2016/2/29,0.9,99.24
2016/1/31,1,98.84
2015/12/31,0.9,100.61
2015/11/30,0.9,100.25
2015/10/31,1.5,100.87
2015/9/30,1.3,100.71
2015/8/31,1.4,100.24
2015/7/31,1.4,99.93
2015/6/30,1.2,100.57
2015/5/31,1.3,100.52
2015/4/30,0.9,100.3
2015/3/31,0.6,99.77
2015/2/28,0.7,98.38
2015/1/31,0.6,97.87
2014/12/31,0.7,99.7
2014/11/30,0.7,99.35
2014/10/31,0.7,99.42
2014/9/30,0.8,99.42
2014/8/31,0.9,98.87
2014/7/31,0.8,98.55
2014/6/30,0.8,99.38
2014/5/31,0.7,99.25
2014/4/30,1,99.38
2014/3/31,0.7,99.13
2014/2/28,1,97.71
2014/1/31,0.8,97.25
2013/12/31,0.7,98.96
2013/11/30,1,98.69
2013/10/31,0.8,98.72
2013/9/30,1,98.67
2013/8/31,1.1,97.95
2013/7/31,1.1,97.78
2013/6/30,1.2,98.63
2013/5/31,1.2,98.58
2013/4/30,1,98.39
2013/3/31,1.5,98.42
2013/2/28,1.3,96.76
2013/1/31,1.3,96.46
2012/12/31,1.5,98.26
2012/11/30,1.4,97.76
2012/10/31,1.5,97.9
2012/9/30,1.5,97.67
2012/8/31,1.5,96.89
2012/7/31,1.7,96.73
2012/6/30,1.6,97.49
2012/5/31,1.6,97.43
2012/4/30,1.6,97.44
2012/3/31,1.6,96.98
2012/2/29,1.5,95.53
2012/1/31,1.5,95.19
2011/12/31,1.6,96.82
2011/11/30,1.6,96.39
2011/10/31,1.6,96.49
2011/9/30,1.6,96.23
2011/8/31,1.2,95.43
2011/7/31,1.2,95.11
2011/6/30,1.5,96
2011/5/31,1.5,95.92
2011/4/30,1.6,95.94
2011/3/31,1.3,95.45
2011/2/28,1,94.1
2011/1/31,1.1,93.77
2010/12/31,1.1,95.27
2010/11/30,1.1,94.88
2010/10/31,1.1,94.97
2010/9/30,1.2,94.69
2010/8/31,1,94.3
2010/7/31,1,93.98
2010/6/30,1,94.54
2010/5/31,0.9,94.52
2010/4/30,0.9,94.42
2010/3/31,1.1,94.22
2010/2/28,0.8,93.18
2010/1/31,0.8,92.77
2009/12/31,1.1,94.28
2009/11/30,1,93.82
2009/10/31,1.2,93.9
2009/9/30,1.2,93.58
2009/8/31,1.3,93.39
2009/7/31,1.3,93.07
2009/6/30,1.4,93.6
2009/5/31,1.5,93.64
2009/4/30,1.8,93.61
2009/3/31,1.4,93.15
2009/2/28,1.7,92.48
2009/1/31,1.6,92.03
2008/12/31,1.8,93.25
2008/11/30,1.9,92.85
2008/10/31,1.9,92.82
2008/9/30,1.9,92.45
2008/8/31,1.9,92.18
2008/7/31,1.7,91.87
2008/6/30,1.8,92.31
2008/5/31,1.7,92.22
2008/4/30,1.6,91.98
2008/3/31,2,91.82
2008/2/29,1.8,90.95
2008/1/31,1.7,90.58
2007/12/31,1.9,91.56
2007/11/30,1.9,91.13
2007/10/31,1.9,91.06
2007/9/30,1.8,90.75
2007/8/31,1.9,90.47
2007/7/31,1.9,90.33
2007/6/30,1.9,90.68
2007/5/31,1.9,90.65
2007/4/30,1.9,90.49
2007/3/31,1.9,90.02
2007/2/28,1.9,89.38
2007/1/31,1.7,89.03
2006/12/31,1.5,89.85
2006/11/30,1.5,89.43
2006/10/31,1.5,89.4
2006/9/30,1.5,89.11
2006/8/31,1.4,88.77
2006/7/31,1.5,88.67
2006/6/30,1.4,89
2006/5/31,1.3,88.93
2006/4/30,1.5,88.81
2006/3/31,1.3,88.37
2006/2/28,1.2,87.75
2006/1/31,1.2,87.53
2005/12/31,1.4,88.49
2005/11/30,1.4,88.09
2005/10/31,1.4,88.06
2005/9/30,1.3,87.81
2005/8/31,1.3,87.58
2005/7/31,1.3,87.4
2005/6/30,1.4,87.73
2005/5/31,1.6,87.75
2005/4/30,1.4,87.5
2005/3/31,1.6,87.23
2005/2/28,1.4,86.67
2005/1/31,1.6,86.47
2004/12/31,1.9,87.31
2004/11/30,1.9,86.91
2004/10/31,1.9,86.87
2004/9/30,1.8,86.68
2004/8/31,1.9,86.48
2004/7/31,1.8,86.28
2004/6/30,1.9,86.53
2004/5/31,1.8,86.39
2004/4/30,1.8,86.31
2004/3/31,1.8,85.88
2004/2/29,1.8,85.44
2004/1/31,1.7,85.13
2003/12/31,1.6,85.7
2003/11/30,1.7,85.32
2003/10/31,1.7,85.29
2003/9/30,1.8,85.11
2003/8/31,1.7,84.84
2003/7/31,1.6,84.72
2003/6/30,1.8,84.93
2003/5/31,1.8,84.85
2003/4/30,2,84.75
2003/3/31,1.8,84.39
2003/2/28,1.9,83.91
2003/1/31,1.9,83.7
2002/12/31,2.2,84.36
2002/11/30,2.3,83.92
2002/10/31,2.3,83.83
2002/9/30,2.4,83.63
2002/8/31,2.4,83.45
2002/7/31,2.4,83.37
2002/6/30,2.5,83.44
2002/5/31,2.5,83.35
2002/4/30,2.4,83.12
2002/3/31,2.5,82.87
2002/2/28,2.5,82.38
2002/1/31,2.4,82.17
2001/12/31,2.2,82.55
2001/11/30,2.2,82.04
2001/10/31,2.2,81.95
2001/9/30,1.9,81.69
2001/8/31,1.7,81.49
2001/7/31,1.8,81.41
2001/6/30,1.9,81.44
2001/5/31,1.9,81.29
2001/4/30,1.8,81.2
2001/3/31,1.4,80.81
2001/2/28,1,80.38
2001/1/31,1.2,80.27
2000/12/31,1.5,80.74
2000/11/30,1,80.43
2000/10/31,1.1,80.4
2000/9/30,1,80.32
2000/8/31,0.9,80.33
2000/7/31,0.9,80.18
2000/6/30,0.9,80.08
2000/5/31,0.8,79.95
2000/4/30,1,79.98
2000/3/31,0.9,79.86
2000/2/29,0.9,79.74
2000/1/31,1.1,79.52
1999/12/31,1.1,79.72
1999/11/30,1,79.62
1999/10/31,0.9,79.55
1999/9/30,0.9,79.55
1999/8/31,1,79.6
1999/7/31,1.1,79.49
1999/6/30,1,79.34
1999/5/31,1.1,79.29
1999/4/30,1.1,79.19
1999/3/31,1.2,79.18
1999/2/28,1.2,79
1999/1/31,1.3,78.68
1998/12/31,1.4,78.89
1998/11/30,1.4,78.82
1998/10/31,1.5,78.82
1998/9/30,1.5,78.82
1998/8/31,1.5,78.78
1998/7/31,1.4,78.62
1998/6/30,1.5,78.53
1998/5/31,1.4,78.44
1998/4/30,1.5,78.3
1998/3/31,1.2,78.21
1998/2/28,1.3,78.06
1998/1/31,1.3,77.69
1997/12/31,1.4,77.83
1997/11/30,1.5,77.72
1997/10/31,1.3,77.65
1997/9/30,1.4,77.67
1997/8/31,1.4,77.63
1997/7/31,1.4,77.51
1997/6/30,1.3,77.39
1997/5/31,1.4,77.36
1997/4/30,1.4,77.18
1997/3/31,1.5,77.25
1997/2/28,1.6,77.06
1997/1/31,1.6,76.72
1996/12/31,,76.74
1996/11/30,,76.6
1996/10/31,,76.65
1996/9/30,,76.62
1996/8/31,,76.54
1996/7/31,,76.45
1996/6/30,,76.38
1996/5/31,,76.28
1996/4/30,,76.11
1996/3/31,,76.1
1996/2/29,,75.88
1996/1/31,,75.52
1995/12/31,,
1995/11/30,,
1995/10/31,,
1995/9/30,,
1995/8/31,,
1995/7/31,,
1995/6/30,,
1995/5/31,,
1995/4/30,,
1995/3/31,,
1995/2/28,,
1995/1/31,,
1994/12/31,,
1994/11/30,,
1994/10/31,,
1994/9/30,,
1994/8/31,,
1994/7/31,,
1994/6/30,,
1994/5/31,,
1994/4/30,,
1994/3/31,,
1994/2/28,,
1994/1/31,,
1993/12/31,,
1993/11/30,,
1993/10/31,,
1993/9/30,,
1993/8/31,,
1993/7/31,,
1993/6/30,,
1993/5/31,,
1993/4/30,,
1993/3/31,,
1993/2/28,,
1993/1/31,,
1992/12/31,,
1992/11/30,,
1992/10/31,,
1992/9/30,,
1992/8/31,,
1992/7/31,,
1992/6/30,,
1992/5/31,,
1992/4/30,,
1992/3/31,,
1992/2/29,,
1992/1/31,,
1991/12/31,,
1991/11/30,,
1991/10/31,,
1991/9/30,,
1991/8/31,,
1991/7/31,,
1991/6/30,,
1991/5/31,,
1991/4/30,,
1991/3/31,,
1991/2/28,,
1991/1/31,,
1990/12/31,,
1990/11/30,,
1990/10/31,,
1990/9/30,,
1990/8/31,,
1990/7/31,,
1990/6/30,,
1990/5/31,,
1990/4/30,,
1990/3/31,,
1990/2/28,,
1990/1/31,,
